state,year,disease,val,fire_area,pressure,temperature,co,o3,pm10,no2,ch2o,rh,wd,ws,pm25
Alabama,1990,Cardiovascular diseases,44460.1018066973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1991,Cardiovascular diseases,44206.020012370704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1992,Cardiovascular diseases,44093.8915799777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1993,Cardiovascular diseases,44281.6334853128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1994,Cardiovascular diseases,44530.5256400977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1995,Cardiovascular diseases,45208.6124239612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1996,Cardiovascular diseases,46113.5607009153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1997,Cardiovascular diseases,47592.8061500558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1998,Cardiovascular diseases,49104.9672881212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,1999,Cardiovascular diseases,50610.9498502251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,2000,Cardiovascular diseases,51778.9343119304,4.020867097135067,753.3675705882353,18.416593911764707,0.539713,0.05430755555555555,18.927628,NA,NA,NA,NA,NA,NA
Alabama,2001,Cardiovascular diseases,52369.8465182837,131.43567008183336,753.5711298648648,16.941011135135135,1.1903456666666665,0.04571065151515152,16.559002,8.394646,NA,NA,NA,NA,NA
Alabama,2002,Cardiovascular diseases,52793.5652004856,105.64825902909972,752.7954993636364,18.347702159090908,0.7167066666666666,0.045004136363636364,15.390236,NA,1.816298,80.658626,176.1606152,2.6783668333333335,NA
Alabama,2003,Cardiovascular diseases,53069.0140517573,151.00365329850126,751.0783707777778,19.339745466666667,0.43218599999999996,0.043942426666666666,22.620606875,NA,1.7630466666666667,77.7131072,189.4206484,2.927452,NA
Alabama,2004,Cardiovascular diseases,53077.9494918035,424.2387747237374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,2005,Cardiovascular diseases,53531.6547685518,245.83661749245084,749.3477712291667,18.042049625,0.6928873333333333,0.04686894444444444,25.788633818181818,NA,2.735325875,NA,NA,5.153369,NA
Alabama,2006,Cardiovascular diseases,53456.1156849775,282.652408759311,749.3549841276596,18.12837519148936,NA,0.053747333333333334,25.062256444444444,NA,2.82499175,NA,NA,NA,NA
Alabama,2007,Cardiovascular diseases,53293.1362562645,320.19806554141763,748.757596125,19.152977725,NA,0.055169333333333334,27.6282155,NA,NA,NA,NA,NA,NA
Alabama,2008,Cardiovascular diseases,53161.5730920388,634.8679631521783,748.3724048717949,18.025227179487178,0.6429043333333333,0.044206375,22.42605111111111,NA,NA,NA,NA,NA,NA
Alabama,2009,Cardiovascular diseases,52847.1391013829,377.70607328687686,748.5772810930232,17.546016372093025,0.5354746666666667,0.038526724637681156,18.66512795,NA,NA,82.871324,163.493551,2.710979,NA
Alabama,2010,Cardiovascular diseases,53092.7476933998,176.05181756463824,747.6769504878049,17.49415675609756,NA,0.04937366666666667,23.045200214285714,NA,NA,NA,189.190751,3.684971,12.658278458333333
Alabama,2011,Cardiovascular diseases,53533.437245609,450.1870486357537,748.0326717804878,17.802006463414635,NA,0.04530037333333333,21.1347032,NA,NA,62.345484,160.760474,2.659969,NA
Alabama,2012,Cardiovascular diseases,54308.6808286793,150.47057198681816,748.5841653870967,18.64201406451613,0.365398,0.044227898550724634,19.7898563,NA,NA,68.433735,170.588855,1.769305,NA
Alabama,2013,Cardiovascular diseases,54974.4719957666,338.59988407000327,749.60432253125,17.57951790625,0.381585,0.04044090476190476,19.6354036,12.062111,NA,68.884633,165.439809,NA,NA
Alabama,2014,Cardiovascular diseases,55732.376034286,289.46489518281743,748.9433086666667,17.27334593939394,0.33849799999999997,0.04082761111111111,19.39747025,11.624116,NA,66.4264885,180.830096,NA,NA
Alabama,2015,Cardiovascular diseases,56573.6831199621,433.92951744714185,749.5381842121212,17.806390242424243,0.38404574999999996,0.03905169696969697,19.167967,11.1970445,NA,69.139696,163.1888275,NA,11.555282
Alabama,2016,Cardiovascular diseases,57333.7810504746,186.3628832292476,749.0674869285714,18.02407392857143,0.3350456666666667,0.042132333333333334,18.33065375,11.590768,NA,68.17099933333333,175.98003866666667,NA,10.457407
Alabama,2017,Cardiovascular diseases,58488.0727396635,298.47446503120807,746.535268,19.032521714285714,NA,0.03942802898550725,16.5843405,10.216427,NA,50.17508266666667,174.56607266666668,NA,10.301548
Alabama,2018,Cardiovascular diseases,59639.4754013477,199.76175402079045,747.1264037857143,18.0343355,0.209358,0.04018284126984127,16.96844325,8.185029,NA,49.39904,175.43353533333334,NA,NA
Alabama,2019,Cardiovascular diseases,60742.0094210656,256.29022008559656,746.1748995,18.707772785714287,NA,0.04085642222222222,22.17634375,NA,NA,53.84415766666667,127.05672166666666,NA,9.016707
Alabama,2020,Cardiovascular diseases,61658.4114347699,206.75336519817608,746.8566177499999,18.402447666666667,0.259608,0.03659049122807018,11.824252999999999,9.4533615,NA,70.27584233333333,173.67102933333334,NA,8.508565
Alabama,2021,Cardiovascular diseases,60835.8888220431,261.16745501686574,746.6803684722222,18.189930722222222,0.282044,0.03730625925925926,13.582518,9.3294105,NA,68.5570802,147.83527999999998,NA,8.4331676
Alabama,2022,Cardiovascular diseases,60482.8423406102,267.55000057375076,747.1098760833333,17.42461175,NA,0.03950633333333333,13.033863499999999,NA,NA,67.44632833333333,97.71122333333332,NA,8.128986675
Alabama,2023,Cardiovascular diseases,62317.0077749617,112.61057373787511,747.71263,19.167975181818182,0.17991300000000002,0.0432223,14.5790275,8.8237445,NA,69.720014,179.83454433333333,NA,8.370108014705883
Hawaii,1990,Cardiovascular diseases,9890.24045052545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1991,Cardiovascular diseases,9915.43897001924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1992,Cardiovascular diseases,9939.38808367716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1993,Cardiovascular diseases,10038.0962321255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1994,Cardiovascular diseases,10158.1021488807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1995,Cardiovascular diseases,10414.8804245043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1996,Cardiovascular diseases,10757.1970036375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1997,Cardiovascular diseases,11196.9237417212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1998,Cardiovascular diseases,11708.5157408175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,1999,Cardiovascular diseases,12173.7757191979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,2000,Cardiovascular diseases,12565.5296436316,NA,764.517525,24.857409833333335,0.489248,0.022072333333333333,12.743381750000001,4.0795960000000004,NA,95.1651875,45.9776705,5.6708415,NA
Hawaii,2001,Cardiovascular diseases,12759.2876923477,NA,764.822341,25.177212333333333,0.5271465,0.022276333333333332,11.5462472,3.957526,NA,89.67333233333333,54.551708000000005,7.306762333333333,NA
Hawaii,2002,Cardiovascular diseases,12918.5661826203,NA,761.74195825,23.605442,0.7416896666666667,0.022825333333333333,11.3653746,4.597319499999999,1.011667,89.54254399999999,62.65740266666666,6.856806333333333,NA
Hawaii,2003,Cardiovascular diseases,12956.4675357311,51.84905835725402,762.5027938,24.8427462,0.461378,0.026283333333333332,6.1337375000000005,4.4192149999999994,1.499661,86.44909666666666,72.28336966666667,6.630957666666667,NA
Hawaii,2004,Cardiovascular diseases,13065.5164773497,8.408958758876699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
